,Name,Age,Year of Graduation,House,vaccine,COVID-19,american medicine,wellness,public health,bird flu,global medicine,cancer,UID,Major
16,Sophia Brown,22,2024,Venerable,Vaccine meeting to prepare for coming winter’s flu season canceled,COVID Origins: Exclusive: Inside the FBI’s Lab Leak Investigation,"Reps back reforms to Medicare Physician Fee Schedule, starting with physician reimbursement",What to Know About the Wellness Guru who Faked Cancer and Inspired Netflix’s Apple Cider Vinegar,CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters ,Bird flu found in Bernalillo County,"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO","Tel Aviv University breaks new ground in cancer detection, treatment with new innovation",2205909,ESE or GPS
17,Benjamin Clark,19,2027,Ricketts,FDA cancels pivotal advisory meeting about next season's flu vaccine,"Novavax sees royalties, reduced expenses on COVID vaccines from Sanofi partnership",Orthopedic Sports Medicine office to relocate to new US 31 location,SIX SENSES INTRODUCES INAUGURAL FEMALE WELLNESS PROGRAM,​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,Long Island duck farmer’s new hope after bird flu wipes out flock,"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",Glycoproteomic Influence on NK Cell Response in Ovarian Cancer,2205910,Chem or ChemE
18,Charlotte Lewis,20,2026,Unaffiliated,Childhood vaccines: What research shows about their safety and potential side effects,COVID Broke the Rules of Virus Evolution,Physicians take fight for Medicare payment reform to Capitol Hill,Deliciously Ella: ‘The wellness industry? We’re overdue some sanity’,CDPH Warns Consumers Not to Drink Illegal Mary Jones Hemp-Infused Sodas ​​,The US May Start Vaccinating Chickens Against Bird Flu,The case for investing in global genomic medicine,Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,2205911,Other
19,Daniel Walker,21,2025,Avery,First doses announced in phase 2 trial for TB vaccine candidate,"Health experts warn of a “quademic” as COVID-19, flu, RSV, and norovirus spread.","Use of opioid overdose antidote by laypersons rose 43% from 2020 to 2022, study finds",Explore the 'Healthiest Home in America' (and the Wellness Features Worth Incorporating),​CDPH Warns Against Drinking Second Lot of Raw Milk Following Bird Flu Detection ​,Iconic Sandhill cranes face mass die-off in bird flu outbreak,"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO",Reimagining Cancer: Innovation-driven exploration and care,2205912,CS or IDS
20,Amelia Young,22,2024,Blacker,FDA cancels vaccine advisory committee meeting,The next pandemic: COVID-19 showed us how we can fight the next global outbreak,"Worst flu season: Influenza virus spread, new bird flu cases in the U.S., plus measles outbreak update","Wellness blogger Belle Gibson lied about having cancer. Years later, Australia is still chasing her",​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,US egg farmers worry fight against bird flu is unwinnable as experts consider vaccinations: ‘I call this virus a terrorist’,NHS watchdog blocks AstraZeneca breast cancer drug ,‘He’s a fighter’: nation awaits result of medical hero’s brain surgery,2205913,Bio or BioE or CNS
21,Michael Scott,19,2027,Dabney,CDC investigating hospitalizations of five people who recently received chikungunya vaccine,COVID-19 turns 5: Tell us how it changed your life,Physicians take fight for Medicare payment reform to Capitol Hill,‘The White Lotus’ New Season Tackles Our Wellness Obsession,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,"Bird flu devastates Cranberry’s Seggond Chance Farm, a sanctuary for misfit birds",Global patterns and trends in breast cancer incidence and mortality across 185 countries,Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,2205914,EE
22,Ella Martinez,20,2026,Page,Vaccine meeting to prepare for coming winter’s flu season canceled,Long COVID played a role in thousands of deaths: CDC,America Is a World Leader in Medicine Development,"Wellness Weekend at the Inn features yoga, spa treatments, restaurant takeover","Travis County infant tests positive for measles, Austin Public Health says",Trump administration unveils bird flu plan as egg prices soar,Innovative finance brings new river blindness medicine to Africa,12 new breakthroughs in the fight against cancer,2205915,MechE
23,Logan White,21,2025,Lloyd,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,Wuhan Covid lab planning ‘ominous’ new bat experiments,"NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says",Are you falling for wellness misinformation online? Here’s how to tell,Postponing last week’s vaccine meeting endangers Americans’ health,Bird flu found in Bernalillo County,"Global Pharmaceutical Market Size to Worth USD 2845.3 Billion by 2032, Rising Healthcare Expenditure and Innovations in Drug Research Propels Growth | Research by SNS Insider",Can AI Help Predict Which Cancer Patients Should Be Treated with Immunotherapy?,2205916,ACM
24,Liam Carter,19,2027,Avery,FDA cancels meeting to update next season's flu vaccines,New study links COVID-19 vaccine to long-term side effects,American chaos: standing up for health and medicine,The New Thinking on Concussions in Sports,Experts worry that public health turmoil could make bird flu deadlier,Dynasty behind US egg giant looks to cash in as profits soar amid bird flu,Global effort enhances clinical care for children with rare genetic diseases,Cancer family 'financially broken' by benefits wait,2205927,CS or IDS
25,Emma Wilson,20,2026,Blacker,Vaccine interest increasing in Austin as measles outbreak in West Texas worsens,COVID Broke the Rules of Virus Evolution,Why DeepSeek Will Upend American Medicine,Halle Berry Says Perimenopause Made Sex Feel like 'Razor Blades',Left in the dark: Doctors sound the alarm over child deaths,Are egg producers inflating prices during the bird flu outbreak to boost profits?,Arinze Okafor discusses the road to precision medicine and its impact on global health,Mediterranean diet could help lower cancer risk in obesity,2205928,Bio or BioE or CNS
26,Noah Adams,21,2025,Dabney,CDC seems to defy Trump executive order by participating in WHO vaccine conference,IMUNON Announces New Immunogenicity Data from Phase 1 Clinical Trial of Its DNA Vaccine in Treatment of COVID-19,"As prior authorization burden grows, so does momentum for change",International Luxury Hotel Association And Matrix Fitness Join Forces To Redefine Wellness In Luxury Hospitality,MPs underline risks of toxic lead paint in English homes,Long Island duck farmer’s new hope after bird flu wipes out flock,"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,2205929,EE
27,Olivia Green,22,2024,Page,FDA cancels vaccine advisory committee meeting,Wuhan Covid lab planning ‘ominous’ new bat experiments,Telehealth advocates turn up the pressure as Medicare deadline nears,RFK Jr. proposed sending addicts to taxpayer-funded ‘wellness farms’ to tackle drug crisis,CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters ,The US May Start Vaccinating Chickens Against Bird Flu,"Africa’s medical system risks ‘collapse in next few years’, warns health leader",Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,2205930,MechE
28,William Harris,19,2027,Lloyd,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,COVID-19 turns 5: Tell us how it changed your life,2 in 3 physicians are using health AI—up 78% from 2023,"Wellness blogger Belle Gibson lied about having cancer. Years later, Australia is still chasing her",CDPH Warns Consumers Not to Drink Illegal Mary Jones Hemp-Infused Sodas ​​,Bird flu threatens backyard flocks in New Mexico,Sierra Leone inaugurates 1st traditional Chinese medicine center,A Rare White Blood Cell Boosts Cancer-Fighting Immune Cells,2205931,ACM
29,Ava Martinez,20,2026,Bechtel,FDA meeting to choose flu vaccine composition canceled without explanation,"Long COVID news, measles in Texas, RSV vaccine for moms, food recalls and rural health care access","NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says","The best smart rings to help track sleep, wellness and more",​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,EVOLVING BUG Two more cats positive for H5N1 bird flu amid scientists’ fears it spreads by WIND,Global patterns and trends in breast cancer incidence and mortality across 185 countries,Combination treatment strategy dramatically increases cell death in leukemia,2205932,Physics or Astro
30,James Taylor,21,2025,Fleming,CDC investigating hospitalizations of five people who recently received chikungunya vaccine,Threats poured into Granite School District after ‘misleading’ DOGE post accused officials of misusing COVID funds,America Is a World Leader in Medicine Development,Local Artist Partners with Soul Dive Yoga to Inspire Wellness for Locals 55+,​CDPH Warns Against Drinking Second Lot of Raw Milk Following Bird Flu Detection ​,USDA unveils a $1 billion plan to address the egg crisis,Better Together: Building a Global Health Network Economy through Data Collaboratio,Artificial intelligence informs solutions for gastric cancer challenges,2205933,Mathematics
31,Sophia Brown,22,2024,Venerable,Vaccine meeting to prepare for coming winter’s flu season canceled,COVID Origins: Exclusive: Inside the FBI’s Lab Leak Investigation,"Reps back reforms to Medicare Physician Fee Schedule, starting with physician reimbursement",What to Know About the Wellness Guru who Faked Cancer and Inspired Netflix’s Apple Cider Vinegar,CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters ,Bird flu found in Bernalillo County,"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO","Tel Aviv University breaks new ground in cancer detection, treatment with new innovation",2205934,ESE or GPS
32,Benjamin Clark,19,2027,Ricketts,FDA cancels pivotal advisory meeting about next season's flu vaccine,"Novavax sees royalties, reduced expenses on COVID vaccines from Sanofi partnership",Orthopedic Sports Medicine office to relocate to new US 31 location,SIX SENSES INTRODUCES INAUGURAL FEMALE WELLNESS PROGRAM,​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,Long Island duck farmer’s new hope after bird flu wipes out flock,"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",Glycoproteomic Influence on NK Cell Response in Ovarian Cancer,2205935,Chem or ChemE
33,Charlotte Lewis,20,2026,Unaffiliated,Childhood vaccines: What research shows about their safety and potential side effects,COVID Broke the Rules of Virus Evolution,Physicians take fight for Medicare payment reform to Capitol Hill,Deliciously Ella: ‘The wellness industry? We’re overdue some sanity’,CDPH Warns Consumers Not to Drink Illegal Mary Jones Hemp-Infused Sodas ​​,The US May Start Vaccinating Chickens Against Bird Flu,The case for investing in global genomic medicine,Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,2205936,Other
34,Daniel Walker,21,2025,Avery,First doses announced in phase 2 trial for TB vaccine candidate,"Health experts warn of a “quademic” as COVID-19, flu, RSV, and norovirus spread.","Use of opioid overdose antidote by laypersons rose 43% from 2020 to 2022, study finds",Explore the 'Healthiest Home in America' (and the Wellness Features Worth Incorporating),​CDPH Warns Against Drinking Second Lot of Raw Milk Following Bird Flu Detection ​,Iconic Sandhill cranes face mass die-off in bird flu outbreak,"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO",Reimagining Cancer: Innovation-driven exploration and care,2205937,CS or IDS
35,Amelia Young,22,2024,Blacker,FDA cancels vaccine advisory committee meeting,The next pandemic: COVID-19 showed us how we can fight the next global outbreak,"Worst flu season: Influenza virus spread, new bird flu cases in the U.S., plus measles outbreak update","Wellness blogger Belle Gibson lied about having cancer. Years later, Australia is still chasing her",​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,US egg farmers worry fight against bird flu is unwinnable as experts consider vaccinations: ‘I call this virus a terrorist’,NHS watchdog blocks AstraZeneca breast cancer drug ,‘He’s a fighter’: nation awaits result of medical hero’s brain surgery,2205938,Bio or BioE or CNS
36,Michael Scott,19,2027,Dabney,CDC investigating hospitalizations of five people who recently received chikungunya vaccine,COVID-19 turns 5: Tell us how it changed your life,Physicians take fight for Medicare payment reform to Capitol Hill,‘The White Lotus’ New Season Tackles Our Wellness Obsession,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,"Bird flu devastates Cranberry’s Seggond Chance Farm, a sanctuary for misfit birds",Global patterns and trends in breast cancer incidence and mortality across 185 countries,Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,2205939,EE
37,Ella Martinez,20,2026,Page,Vaccine meeting to prepare for coming winter’s flu season canceled,Long COVID played a role in thousands of deaths: CDC,America Is a World Leader in Medicine Development,"Wellness Weekend at the Inn features yoga, spa treatments, restaurant takeover","Travis County infant tests positive for measles, Austin Public Health says",Trump administration unveils bird flu plan as egg prices soar,Innovative finance brings new river blindness medicine to Africa,12 new breakthroughs in the fight against cancer,2205940,MechE
38,Logan White,21,2025,Lloyd,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,Wuhan Covid lab planning ‘ominous’ new bat experiments,"NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says",Are you falling for wellness misinformation online? Here’s how to tell,Postponing last week’s vaccine meeting endangers Americans’ health,Bird flu found in Bernalillo County,"Global Pharmaceutical Market Size to Worth USD 2845.3 Billion by 2032, Rising Healthcare Expenditure and Innovations in Drug Research Propels Growth | Research by SNS Insider",Can AI Help Predict Which Cancer Patients Should Be Treated with Immunotherapy?,2205941,ACM
39,Liam Carter,19,2027,Avery,FDA cancels meeting to update next season's flu vaccines,New study links COVID-19 vaccine to long-term side effects,American chaos: standing up for health and medicine,The New Thinking on Concussions in Sports,Experts worry that public health turmoil could make bird flu deadlier,Dynasty behind US egg giant looks to cash in as profits soar amid bird flu,Global effort enhances clinical care for children with rare genetic diseases,Cancer family 'financially broken' by benefits wait,2205942,CS or IDS
40,Emma Wilson,20,2026,Blacker,Vaccine interest increasing in Austin as measles outbreak in West Texas worsens,COVID Broke the Rules of Virus Evolution,Why DeepSeek Will Upend American Medicine,Halle Berry Says Perimenopause Made Sex Feel like 'Razor Blades',Left in the dark: Doctors sound the alarm over child deaths,Are egg producers inflating prices during the bird flu outbreak to boost profits?,Arinze Okafor discusses the road to precision medicine and its impact on global health,Mediterranean diet could help lower cancer risk in obesity,2205943,Bio or BioE or CNS
41,Noah Adams,21,2025,Dabney,CDC seems to defy Trump executive order by participating in WHO vaccine conference,IMUNON Announces New Immunogenicity Data from Phase 1 Clinical Trial of Its DNA Vaccine in Treatment of COVID-19,"As prior authorization burden grows, so does momentum for change",International Luxury Hotel Association And Matrix Fitness Join Forces To Redefine Wellness In Luxury Hospitality,MPs underline risks of toxic lead paint in English homes,Long Island duck farmer’s new hope after bird flu wipes out flock,"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",Groundbreaking scanner could revolutionize breast cancer diagnosis and treatment,2205944,EE
42,Olivia Green,22,2024,Page,FDA cancels vaccine advisory committee meeting,Wuhan Covid lab planning ‘ominous’ new bat experiments,Telehealth advocates turn up the pressure as Medicare deadline nears,RFK Jr. proposed sending addicts to taxpayer-funded ‘wellness farms’ to tackle drug crisis,CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters ,The US May Start Vaccinating Chickens Against Bird Flu,"Africa’s medical system risks ‘collapse in next few years’, warns health leader",Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,2205945,MechE
43,William Harris,19,2027,Lloyd,Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,COVID-19 turns 5: Tell us how it changed your life,2 in 3 physicians are using health AI—up 78% from 2023,"Wellness blogger Belle Gibson lied about having cancer. Years later, Australia is still chasing her",CDPH Warns Consumers Not to Drink Illegal Mary Jones Hemp-Infused Sodas ​​,Bird flu threatens backyard flocks in New Mexico,Sierra Leone inaugurates 1st traditional Chinese medicine center,A Rare White Blood Cell Boosts Cancer-Fighting Immune Cells,2205946,ACM
44,Ava Martinez,20,2026,Bechtel,FDA meeting to choose flu vaccine composition canceled without explanation,"Long COVID news, measles in Texas, RSV vaccine for moms, food recalls and rural health care access","NIH Funding Cuts Would Hobble U.S. Medical Research, Insider Says","The best smart rings to help track sleep, wellness and more",​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,EVOLVING BUG Two more cats positive for H5N1 bird flu amid scientists’ fears it spreads by WIND,Global patterns and trends in breast cancer incidence and mortality across 185 countries,Combination treatment strategy dramatically increases cell death in leukemia,2205947,Physics or Astro
45,James Taylor,21,2025,Fleming,CDC investigating hospitalizations of five people who recently received chikungunya vaccine,Threats poured into Granite School District after ‘misleading’ DOGE post accused officials of misusing COVID funds,America Is a World Leader in Medicine Development,Local Artist Partners with Soul Dive Yoga to Inspire Wellness for Locals 55+,​CDPH Warns Against Drinking Second Lot of Raw Milk Following Bird Flu Detection ​,USDA unveils a $1 billion plan to address the egg crisis,Better Together: Building a Global Health Network Economy through Data Collaboratio,Artificial intelligence informs solutions for gastric cancer challenges,2205948,Mathematics
46,Sophia Brown,22,2024,Venerable,Vaccine meeting to prepare for coming winter’s flu season canceled,COVID Origins: Exclusive: Inside the FBI’s Lab Leak Investigation,"Reps back reforms to Medicare Physician Fee Schedule, starting with physician reimbursement",What to Know About the Wellness Guru who Faked Cancer and Inspired Netflix’s Apple Cider Vinegar,CDPH Warns of Possible Norovirus Infections from Imported Raw Korean Oysters ,Bird flu found in Bernalillo County,"Breast cancer diagnoses and deaths expected to surge worldwide, says WHO","Tel Aviv University breaks new ground in cancer detection, treatment with new innovation",2205949,ESE or GPS
47,Benjamin Clark,19,2027,Ricketts,FDA cancels pivotal advisory meeting about next season's flu vaccine,"Novavax sees royalties, reduced expenses on COVID vaccines from Sanofi partnership",Orthopedic Sports Medicine office to relocate to new US 31 location,SIX SENSES INTRODUCES INAUGURAL FEMALE WELLNESS PROGRAM,​​​CDPH Reminds Public of Rabies Precautions Following Death of Fresno County Resident ,Long Island duck farmer’s new hope after bird flu wipes out flock,"What’s Next in Medicine? Global Experts Discuss the Future, Far Reaching Effects at NXT Conclave 2025",Glycoproteomic Influence on NK Cell Response in Ovarian Cancer,2205950,Chem or ChemE
48,Charlotte Lewis,20,2026,Unaffiliated,Childhood vaccines: What research shows about their safety and potential side effects,COVID Broke the Rules of Virus Evolution,Physicians take fight for Medicare payment reform to Capitol Hill,Deliciously Ella: ‘The wellness industry? We’re overdue some sanity’,CDPH Warns Consumers Not to Drink Illegal Mary Jones Hemp-Infused Sodas ​​,The US May Start Vaccinating Chickens Against Bird Flu,The case for investing in global genomic medicine,Enhancer reprogramming: critical roles in cancer and promising therapeutic strategies,2205951,Other
